City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
53,Puerto Ayora,EC,2020-01-05 06:39:22,-0.74,-90.35,75.0,83,40,3.0,scattered clouds,0.0,0.0
54,Minas,UY,2020-01-05 06:35:26,-34.38,-55.24,68.0,77,0,4.7,clear sky,0.0,0.0
55,Ancud,CL,2020-01-05 06:39:22,-41.87,-73.83,51.8,76,60,4.7,broken clouds,0.0,0.0
56,Riyadh,SA,2020-01-05 06:36:21,24.63,46.72,55.4,87,75,8.05,thunderstorm,0.0,0.0
57,Busselton,AU,2020-01-05 06:39:23,-33.64,115.35,89.01,10,32,10.07,scattered clouds,0.0,0.0
58,Thompson,CA,2020-01-05 06:39:23,55.74,-97.86,5.0,84,90,8.05,light snow,0.0,0.0
59,Imbituba,BR,2020-01-05 06:39:23,-28.24,-48.67,69.8,100,75,6.93,light rain,0.0,0.0
60,Guerrero Negro,MX,2020-01-05 06:39:24,27.97,-114.04,60.22,54,0,4.14,clear sky,0.0,0.0
61,Taseyevo,RU,2020-01-05 06:39:24,57.22,94.9,22.84,79,75,7.23,broken clouds,0.0,0.0
62,Cape Town,ZA,2020-01-05 06:35:19,-33.93,18.42,70.0,82,40,11.41,scattered clouds,0.0,0.0
63,Saskylakh,RU,2020-01-05 06:39:24,71.97,114.09,-21.05,93,17,7.65,few clouds,0.0,0.0
64,Muros,ES,2020-01-05 06:39:25,42.77,-9.06,45.0,100,0,3.36,clear sky,0.0,0.0
65,Tasiilaq,GL,2020-01-05 06:39:25,65.61,-37.64,28.4,68,100,5.82,overcast clouds,0.0,0.0
66,Port Elizabeth,US,2020-01-05 06:39:25,39.31,-74.98,44.01,87,90,14.99,light rain,0.0,0.0
67,Dali,CN,2020-01-05 06:39:25,34.79,109.94,37.78,90,100,15.39,light rain,2.06,0.0
68,Dingle,PH,2020-01-05 06:39:25,11.0,122.67,80.13,82,41,15.9,light rain,1.13,0.0
69,Beian,NO,2020-01-05 06:39:25,63.66,9.57,37.99,80,75,19.46,broken clouds,0.0,0.0
70,Uri,IN,2020-01-05 06:39:26,34.09,74.03,33.19,63,82,7.54,broken clouds,0.0,0.0
71,Georgetown,GY,2020-01-05 06:39:26,6.8,-58.16,77.95,76,36,12.73,scattered clouds,0.0,0.0
72,Chokurdakh,RU,2020-01-05 06:39:26,70.62,147.9,-14.84,96,60,5.88,broken clouds,0.0,0.0
73,Broome,GB,2020-01-05 06:39:26,52.47,1.45,45.0,81,90,6.93,overcast clouds,0.0,0.0
74,East London,ZA,2020-01-05 06:34:44,-33.02,27.91,73.4,94,90,17.22,overcast clouds,0.0,0.0
75,Hilo,US,2020-01-05 06:39:27,19.71,-155.08,75.2,73,75,4.7,light rain,0.0,0.0
76,Nanortalik,GL,2020-01-05 06:39:27,60.14,-45.24,30.36,77,97,18.05,overcast clouds,0.0,0.0
77,Mitchell,US,2020-01-05 06:34:29,43.71,-98.03,37.4,69,1,14.99,clear sky,0.0,0.0
78,Rio Negrinho,BR,2020-01-05 06:39:27,-26.26,-49.52,68.0,98,89,2.77,light rain,0.31,0.0
79,Lebu,ET,2020-01-05 06:39:27,8.96,38.73,60.8,63,20,4.7,few clouds,0.0,0.0
80,Hefei,CN,2020-01-05 06:39:28,31.82,117.22,50.0,93,90,6.71,mist,0.0,0.0
81,Seoul,KR,2020-01-05 06:36:24,37.57,126.98,42.8,33,20,3.36,few clouds,0.0,0.0
82,Mayo,CA,2020-01-05 06:39:28,63.59,-135.9,-13.0,62,20,6.93,few clouds,0.0,0.0
83,Castro,CL,2020-01-05 06:39:28,-42.48,-73.76,51.8,76,80,4.7,light rain,0.19,0.0
84,Chittur,IN,2020-01-05 06:39:28,10.7,76.74,82.4,61,40,3.36,scattered clouds,0.0,0.0
85,Arraial Do Cabo,BR,2020-01-05 06:39:29,-22.97,-42.02,75.25,88,100,11.14,overcast clouds,0.0,0.0
86,Owando,CG,2020-01-05 06:39:29,-0.49,15.91,71.85,66,78,1.23,broken clouds,0.0,0.0
87,Faanui,PF,2020-01-05 06:39:29,-16.48,-151.75,81.32,78,83,11.07,light rain,0.63,0.0
88,Itarema,BR,2020-01-05 06:39:29,-2.92,-39.92,75.6,92,100,2.91,overcast clouds,0.0,0.0
89,Benguela,AO,2020-01-05 06:39:30,-12.58,13.4,77.38,78,100,3.85,light rain,0.87,0.0
90,Saldanha,PT,2020-01-05 06:39:30,41.42,-6.55,33.8,89,0,2.19,clear sky,0.0,0.0
91,Emerald,AU,2020-01-05 06:39:31,-23.53,148.16,95.0,24,5,12.75,clear sky,0.0,0.0
92,Clyde River,CA,2020-01-05 06:39:31,70.47,-68.59,-29.2,60,90,14.99,overcast clouds,0.0,0.0
93,Cabo San Lucas,MX,2020-01-05 06:37:45,22.89,-109.91,61.0,77,5,13.87,clear sky,0.0,0.0
94,Tigil,RU,2020-01-05 06:39:31,57.8,158.67,12.76,75,17,10.16,few clouds,0.0,0.0
95,Qaanaaq,GL,2020-01-05 06:39:31,77.48,-69.36,-39.08,51,0,5.97,clear sky,0.0,0.0
96,Hermanus,ZA,2020-01-05 06:39:31,-34.42,19.24,68.0,79,38,5.01,scattered clouds,0.0,0.0
97,Severo-Kurilsk,RU,2020-01-05 06:39:32,50.68,156.12,17.76,90,100,6.15,light snow,0.0,0.25
98,Canoa,CU,2020-01-05 06:39:32,22.56,-79.83,71.6,100,40,5.82,scattered clouds,0.0,0.0
99,North Myrtle Beach,US,2020-01-05 06:39:32,33.83,-78.68,48.2,39,1,11.41,clear sky,0.0,0.0
100,Coihaique,CL,2020-01-05 06:39:32,-45.58,-72.07,50.0,71,79,3.36,light rain,0.0,0.0
101,Batticaloa,LK,2020-01-05 06:39:32,7.71,81.69,84.65,63,23,6.71,few clouds,0.0,0.0
102,Hermiston,US,2020-01-05 06:39:32,45.84,-119.29,45.0,60,1,6.93,clear sky,0.0,0.0
103,Salym,RU,2020-01-05 06:39:33,60.06,71.48,23.7,94,100,10.02,overcast clouds,0.0,0.0
104,Nioro,GM,2020-01-05 06:39:33,13.79,-15.05,62.42,14,10,10.92,clear sky,0.0,0.0
105,Kurchum,KZ,2020-01-05 06:39:33,48.57,83.65,9.18,82,0,0.74,clear sky,0.0,0.0
106,Peace River,CA,2020-01-05 06:39:33,56.23,-117.29,-2.2,77,20,4.7,few clouds,0.0,0.0
107,Nyurba,RU,2020-01-05 06:39:33,63.29,118.35,-17.36,98,91,1.34,overcast clouds,0.0,0.0
108,Kahului,US,2020-01-05 06:38:31,20.89,-156.47,75.2,78,20,14.99,few clouds,0.0,0.0
109,Khovu-Aksy,RU,2020-01-05 06:39:34,51.13,93.72,6.67,72,91,4.85,overcast clouds,0.0,0.0
110,Port Macquarie,AU,2020-01-05 06:39:22,-31.43,152.91,82.99,61,90,19.46,overcast clouds,0.0,0.0
111,Ilulissat,GL,2020-01-05 06:39:34,69.22,-51.1,12.2,72,100,6.93,overcast clouds,0.0,0.0
112,Vejle,DK,2020-01-05 06:39:34,55.7,9.53,37.99,90,6,3.36,clear sky,0.0,0.0
113,Khatanga,RU,2020-01-05 06:39:34,71.98,102.47,-21.17,88,0,8.86,clear sky,0.0,0.0
114,Tual,ID,2020-01-05 06:39:35,-5.67,132.75,83.39,75,100,11.12,light rain,2.0,0.0
115,Tiznit,MA,2020-01-05 06:39:35,29.7,-9.73,47.79,47,0,1.14,clear sky,0.0,0.0
116,Shimoda,JP,2020-01-05 06:39:35,34.7,138.93,51.8,37,20,5.82,few clouds,0.0,0.0
117,Repnoye,RU,2020-01-05 06:39:35,51.59,43.18,33.01,92,100,7.0,overcast clouds,0.0,0.06
118,Saint-Francois,FR,2020-01-05 06:39:36,46.42,3.91,37.0,86,90,3.58,overcast clouds,0.0,0.0
119,Saint-Philippe,CA,2020-01-05 06:39:36,45.36,-73.48,30.2,79,90,6.93,light snow,0.0,0.0
120,Bam,IR,2020-01-05 06:38:28,29.11,58.36,62.53,62,73,7.54,light rain,0.87,0.0
121,Velikiy Ustyug,RU,2020-01-05 06:39:36,60.76,46.3,22.84,96,88,5.82,light snow,0.0,0.13
122,Port Alfred,ZA,2020-01-05 06:39:37,-33.59,26.89,71.01,96,100,11.99,light rain,0.37,0.0
123,Munchberg,DE,2020-01-05 06:39:37,50.2,11.78,34.0,95,90,4.32,overcast clouds,0.0,0.0
124,Iberia,PE,2020-01-05 06:39:37,-11.41,-69.49,69.46,99,100,1.79,overcast clouds,0.0,0.0
125,Kinablangan,PH,2020-01-05 06:39:37,7.69,126.55,77.59,83,19,6.06,light rain,1.31,0.0
126,Cidreira,BR,2020-01-05 06:39:37,-30.17,-50.22,72.59,83,12,15.99,light rain,0.19,0.0
127,Evans,US,2020-01-05 06:39:37,40.38,-104.69,48.2,24,1,35.57,clear sky,0.0,0.0
128,Marevo,BA,2020-01-05 06:39:38,43.57,18.7,32.0,97,90,4.7,light snow,0.0,0.0
