City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
51,51,Tazovskiy,RU,2020-01-05 06:14:32,67.47,78.7,25.45,95,99,16.62,light snow,0.0,0.81
52,52,Bubaque,GW,2020-01-05 06:15:20,11.28,-15.83,75.67,42,0,17.05,clear sky,0.0,0.0
53,53,Puerto Ayora,EC,2020-01-05 06:15:21,-0.74,-90.35,75.0,83,40,1.99,scattered clouds,0.0,0.0
54,54,Minas,UY,2020-01-05 06:15:21,-34.38,-55.24,68.0,77,0,5.82,clear sky,0.0,0.0
55,55,Ancud,CL,2020-01-05 06:15:21,-41.87,-73.83,51.8,76,60,4.7,broken clouds,0.0,0.0
56,56,Riyadh,SA,2020-01-05 06:10:40,24.63,46.72,55.4,93,75,8.05,thunderstorm,0.0,0.0
57,57,Busselton,AU,2020-01-05 06:15:21,-33.64,115.35,89.01,10,32,10.07,scattered clouds,0.0,0.0
58,58,Thompson,CA,2020-01-05 06:15:22,55.74,-97.86,5.0,84,90,6.93,light snow,0.0,0.0
59,59,Imbituba,BR,2020-01-05 06:15:22,-28.24,-48.67,69.8,100,75,6.93,light rain,0.0,0.0
60,60,Guerrero Negro,MX,2020-01-05 06:15:22,27.97,-114.04,60.22,54,0,4.14,clear sky,0.0,0.0
61,61,Taseyevo,RU,2020-01-05 06:15:23,57.22,94.9,22.84,79,75,7.23,broken clouds,0.0,0.0
62,62,Cape Town,ZA,2020-01-05 06:10:54,-33.93,18.42,72.0,88,75,9.17,broken clouds,0.0,0.0
63,63,Saskylakh,RU,2020-01-05 06:15:23,71.97,114.09,-21.05,93,17,7.65,few clouds,0.0,0.0
64,64,Muros,ES,2020-01-05 06:15:23,42.77,-9.06,45.0,100,0,3.36,mist,0.0,0.0
65,65,Tasiilaq,GL,2020-01-05 06:15:24,65.61,-37.64,28.4,68,100,5.82,overcast clouds,0.0,0.0
66,66,Port Elizabeth,US,2020-01-05 06:15:24,39.31,-74.98,44.01,70,90,11.41,light rain,0.0,0.0
67,67,Dali,CN,2020-01-05 06:15:24,34.79,109.94,37.78,90,100,15.39,light rain,2.06,0.0
